gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu
-1340011.88596063,30447014.3804041,109680.343539116,335507841.133673,49003738.9359596
-1340011.88596063,46186089.7137374,110656.778653619,342576399.314937,49003738.9359596
-1340011.88596057,15081420.0470707,114132.938958963,349492641.552371,49003738.9359596
-1340011.88596057,31686727.0470707,115103.114531482,356259512.564226,49003738.9359596
-1340011.88596052,45773435.4157576,120711.374073467,366400202.756191,49003738.9359596
-1340011.88596058,14668765.7490909,123154.320638352,372536196.912177,49004322.1935353
-1195168.00150401,22230839.5,-1551.58177726751,65605.2950128334,1008689.79824561
-1195168.00150399,37803445.8187134,-2198.12540142859,279329.127978481,2003902.09649123
-1195168.001504,52159471.2426901,-2493.41399203261,951443.190218912,3416736.02631579
-1195168.00150404,3496219.79824561,-2489.15895847556,1411663.44493955,2710319.06140351
-1195168.00150399,15781805.1871345,-2821.41399203261,637485.070824284,2710319.06140351
-1195168.00150398,30842679.5760234,-2545.56164303932,1996172.38471313,3416736.02631579
-1195168.00150402,44920060.2982456,-3038.81667659637,2204933.10413177,2710319.06140351
-1195168.00150396,58777559.8538012,-2917.40056921382,3312405.57852341,2710319.06140351
-1195168.00150405,11707051.7426901,-3442.64217995207,4506746.62208964,2710319.06140351
-1195168.00150409,22192002.7017544,-3721.06499874402,3510627.69765507,2710319.06140351
-1195168.00150387,37460768.1871345,-3456.71600545543,3964847.75790847,2710319.06140351
-1195168.00150398,52827051.4093567,-3448.39385780442,4655653.68176448,2710319.06140351
-1195168.00150392,3006832,-3075.04486451583,5594609.25839757,2710319.06140351
-1195168.00150404,15742968.3888889,-3181.56835444872,4133333.1921609,2710319.06140351
-1195168.00150401,31107683.6111111,-3623.27976384469,4321020.2928696,2710319.06140351
-1195168.00150399,44334722.7631579,-3353.68244840845,5911052.88414754,2710319.06140351
-1195168.00150388,58690748.1871345,-3295.46768330778,6116447.50686262,3416736.02631579
-1195168.00150406,11217663.9444444,-3427.36030075744,6112957.48984353,2710319.06140351
-1195168.00150408,22313082.1315789,-3093.25962961651,6459566.02100655,2710319.06140351
-1195168.00150421,37373956.5204678,-3139.11869001919,7915854.27606028,2711887.06140351
-1195168.00150404,52545554.7076023,-4004.19922693194,6324703.83697824,2710319.06140351
-1195168.00150407,2920020.33333333,-2667.46768330778,7659424.45615787,2710319.06140351
-1195168.00150397,15656156.7222222,-2642.52808599234,7771854.86277719,3416736.02631579
-1195168.00150391,31228763.0409357,-3076.36701216684,9249019.05981993,2710319.06140351
-1195168.00150386,43992045.1315789,-3087.21264975073,10190875.0400007,2711887.06140351
-1195168.00150403,59358328.3538012,-3282.85023364335,9190836.40214074,2710319.06140351
-1195168.0015042,10827011.4444444,-2961.49452894536,9529633.35063358,2710319.06140351
-1195168.00150417,22274245.3333333,-3265.85023364335,12597842.0490277,3416736.02631579
-1195168.00150406,37638960.5555555,-3362.05157592523,12373485.8040599,2710319.06140351
-1195168.00150387,52202877.0760234,-3617.57506585812,14365173.7189591,2710319.06140351
-1195168.00150397,3539625.63157895,-3607.80996518697,16063458.52531,2710319.06140351
-1195168.00150385,15617319.9239766,-3485.91063632791,15413024.3660684,2710319.06140351
-1195168.0015038,30886085.4093567,-3218.89721350912,14314546.2712038,2710319.06140351
-1195168.00150399,44659625.2982456,-3748.58177726751,16198914.2396626,2710319.06140351
-1195168.00150384,59076831.6520468,-3670.72942827422,16178943.6155959,2710319.06140351
-1195168.00150388,11044040.6111111,-3126.17238129436,18139239.7351828,2710319.06140351
-1195168.00150391,22235408.5350877,-3292.38714639503,19732698.9733975,2710319.06140351
-1195168.00150405,37760039.9853801,-3469.07171015342,19678939.4513719,2710319.06140351
-1195168.00150382,52116065.4093567,-2562.06499874402,21970100.9251252,3416736.02631579
-1195168.0015037,3050237.83333333,-2587.47439471718,21617643.7589214,2710319.06140351
-1195168.00150411,15738399.3538012,-2644.88379069033,22844397.1260451,2710319.06140351
-1195168.00150395,31103114.5760234,-3528.64217995207,21720338.9266735,3416736.02631579
-1195168.00150421,44378128.5964912,-4014.1052672004,22535844.4892655,2710319.06140351
-1195168.00150419,58734154.0204678,-3936.98446183127,23765064.3079344,3416736.02631579
-1195168.00150444,11663645.9093567,-3380.90392491852,21927805.2252051,2710319.06140351
-1195168.00150411,22356487.9649123,-3599.81667659637,23457611.6929013,2710319.06140351
-1195168.00150417,37417362.3538012,-3639.13882424738,22266876.0358732,2711887.06140351
-1195168.00150413,52783645.5760234,-3642.74956250241,23551381.6974007,2710319.06140351
-1195168.00150403,2963426.16666667,-3436.29989807288,21571215.7237779,2710319.06140351
-1195168.00150431,15699562.5555556,-3684.17238129436,23076136.0093115,3416736.02631579
-1406659.35048693,36627684.4375,-7364.16092125375,140.930678137922,3423449.6875
-1406659.35048694,29563783.4375,-9536.43869903152,819397.994058419,11350191
-1406659.35048696,22499882.4375,-8430.08949268232,1753564.48173448,11350191
-1406659.35048693,18859431.125,-9583.74028633312,3418200.05215701,11350191
-1406659.35048692,11795530.125,-6486.85139744423,3433091.14546687,11350191
-1406659.35048692,4731629.125,-9854.05774665058,4022529.3602556,11350191
-1406659.35048693,48376306.0625,-8168.24028633311,7025065.48525561,11350191
-1406659.35048693,41312405.0625,-10254.6609212537,9338145.06448095,11350191
-1406659.35048689,34248504.0625,-9807.32758792042,9602497.64301411,11350191
-1406659.35048687,27184603.0625,-10113.4783815712,10013187.8644539,11350191
-1406659.35048708,16697252.375,-8436.74822284105,12641868.4925326,11350191
-1406659.35048688,9633351.375,-7436.8672704601,11794111.1067947,11350191
-1406659.35048698,2569450.375,-9175.83552442835,10860543.4598854,11350191
-1406659.35048685,50061584.0625,-9543.70854030137,12778023.6004055,11350191
-1406659.3504868,42997683.0625,-9712.26409585693,15475902.4312469,11350191
-1406659.35048702,35933782.0625,-9228.74822284105,17274541.3570866,11350191
-1406659.35048696,25022424.3125,-8677.71647680931,18103139.4402634,11350191
-1406659.35048682,17958523.3125,-8938.21647680931,16406178.014174,11350191
-1406659.35048685,14742079.0625,-8092.52600061883,20404988.6691367,11350191
-1406659.35048714,7678178.0625,-9620.52600061883,23091041.3444105,11350191
-1406659.35048687,44051948.5625,-9875.33552442835,22433044.3412145,11350191
-1406659.35048678,36988047.5625,-9500.08155617439,24816220.0723057,11350191
-1406659.35048703,29924146.5625,-9220.12917522201,27920897.9077908,11350191
-1406659.35048672,26283695.25,-7540.12123871406,28091710.9623683,11350191
-1406659.35048679,19219794.25,-9218.66885776169,27506519.506578,11350191
-1406659.35048709,12155893.25,-7915.67679426962,31453866.4535655,11350191
-1406659.35048687,1668542.5625,-5927.81171490454,32419371.8751404,11350191
-1406659.35048714,48736669.1875,-6565.56568315851,31943286.3373683,11350191
-1406659.35048693,41672768.1875,-8584.0418736347,31498539.7334951,11350191
-1406659.35048691,34608867.1875,-9110.43869903152,33237072.1912415,11350191
-1406659.35048688,24121516.5,-8377.12917522201,30707540.3180021,11350191
-1406659.35048696,17057615.5,-8256.06568315851,38624044.2372673,11350191
-1406659.35048696,9993714.5,-11286.6847307776,36616393.4754871,11350191
-1406659.35048706,6777270.25,-8845.20854030137,39245805.1841992,11350191
-1406659.35048715,50421947.1875,-8627.87520696803,40858981.9063503,11350191
-1406659.35048734,43358046.1875,-8333.66092125375,43297417.2211711,11350191
-1406659.35048656,36294145.1875,-7812.129175222,43771946.011664,11350191
-1406659.35048688,25382787.4375,-8051.05774665057,44538878.1130014,11350191
-1406659.35048705,14895436.75,-7667.7799688728,41363094.8604512,11350191
-1406659.35048707,15102442.1875,-7810.71647680931,43881890.4848057,11350191
-1406659.35048673,4191084.4375,-7353.7799688728,44471967.0852849,11350191
-1406659.35048712,44412311.6875,-6129.98631807914,48177848.3884735,11350191
-1406659.35048735,37348410.6875,-7558.39107998391,52249680.5451147,11350191
-1406659.35048699,33707959.375,-6955.94663553947,50264094.730817,11350191
-1406659.35048696,26644058.375,-5617.94663553946,51848069.8577126,11350191
-1406659.3504871,19580157.375,-6196.67679426962,51704641.2997704,11350191
-1406659.35048704,9092806.6875,-6273.28790538073,53614261.1225795,11350191
-1406659.35048649,2028905.6875,-6194.33552442835,56089490.6672,11350191
-1406659.35048629,49097032.3125,-7796.40695299978,58608130.4387767,11350191
-1406659.35048741,42033131.3125,-8416.42282601565,60208771.5873682,11350191
-1232351.47367161,1049650.1,-13250.5415689356,312636.424748539,4060911.15
-1232351.47367161,2287512.4,-15846.1190337243,1106743.078474,5320585.455
-1232351.47367162,2736488.3,-15992.6753717525,1959063.89177358,4273481.495
-1232351.47367161,1795459.6,-15073.8303013299,2264146.02369372,4060949.7
-1232351.47367163,2912937.15,-15868.2457942877,2834545.3886014,4060949.7
-1232351.47367161,1855586.05,-15076.0345266821,3513400.7098932,4273459.445
-1232351.47367162,954344.9,-16517.3303013299,4589361.38544591,5320563.405
-1232351.4736716,2232301.395,-17473.9711464004,4779188.7337385,4273459.445
-1232351.47367159,2596960.25,-18069.8162168229,5804025.83504658,5320563.405
-1232351.47367161,1700154.4,-15114.0626956961,6257616.02479164,4273459.445
-1232351.47367159,2641606.25,-17030.3795971046,7035603.53484576,4060262.85
-1232351.47367163,1670131.7,-17200.5486111891,7747185.80129548,5319998.355
-1232351.47367163,860819.95,-17035.844385837,8503296.18688242,4272894.395
-1232351.47367165,1903901.445,-17827.1190337243,9213761.18717634,5319998.355
-1232351.47367156,2414710.35,-18521.2035407666,10272680.4209329,4272894.395
-1232351.47367159,1580242.95,-19383.0908647102,10796178.6477301,4272894.395
-1232351.47367161,2540604.25,-19325.020442175,11974147.8848108,5319998.355
-1232351.47367162,1570747.25,-20258.4288928792,12385883.5930774,4272894.395
-1232351.47367163,765870.8,-21422.1472027384,12562261.7163854,4272894.395
-1232351.47367164,2986944.25,-20657.1049492173,12645209.7277301,4272894.395
-1232351.47367161,1010881.25,-20422.2598787947,12778493.8529193,4272894.395
-1232351.47367158,1485293.8,-18687.8303013299,14785557.9804214,5319998.355
-1232351.47367159,2147416.45,-17133.2528365412,16000546.4161992,4272894.395
-1232351.47367159,1475798.1,-17884.020442175,17407142.6521445,4272894.395
-1232351.4736716,670921.65,-17255.8303013299,19070963.8494545,5319998.355
-1232351.4736716,2761107.105,-16775.344385837,20004191.3683069,4272894.395
-1232351.47367159,2195221.1,-18880.2598787947,20535035.09705,5319998.355
-1232351.47367169,1390344.65,-18326.0556534426,21289679.2719066,4272894.395
-1232351.47367161,2052467.3,-18172.3021323159,22069540.3673089,4272894.395
-1232351.47367156,1380848.95,-18241.0908647102,22755109.2310259,5319998.355
-1232351.47367168,1830631.8,-16919.8936816116,23907981.9318986,4272894.395
-1232351.47367163,2666157.955,-19875.9007238652,25234406.158504,5319998.355
-1232351.47367159,2100271.95,-18676.8866393581,25938455.6151277,4272894.395
-1232351.4736716,1289342.65,-16453.9500196398,27113231.810346,4272894.395
-1232351.47367161,1953082.85,-18652.182414006,26332528.498685,5319998.355
-1232351.47367172,2594779.75,-17008.8795971046,27955495.3505428,4272894.395
-1232351.47367158,1735682.65,-16882.1119914708,29114587.7734699,5319998.355
-1232351.47367169,2672505.85,-18838.8021323159,30107369.9740251,4272894.395
-1232351.47367154,2005322.8,-16166.0556534426,31192878.7860173,4272894.395
-1232351.4736716,896154.85,-15933.8795971046,32108370.2120389,5319998.355
-1232351.47367164,1989021.695,-14254.4570618933,33107669.3901303,4272894.395
-1232351.4736716,2499830.6,-14496.2528365412,33902783.5494049,5319998.355
-1232351.4736716,1640733.5,-14632.5486111891,34861193.7907838,4272894.395
-1232351.4736717,2577556.7,-17178.1894562595,35427165.7242584,4272894.395
-1232351.47367162,1910373.65,-17347.3373435835,36008962.3767744,5319998.355
-1232351.47367168,801205.7,-13350.168329499,37187842.5522204,4272894.395
-1232351.4736716,1894072.545,-14436.7457942877,38785584.4931672,5319998.355
-1232351.47367157,2350660.8,-14167.9711464004,39559077.7269045,4272894.395
-1232351.47367167,1516193.4,-13489.4429773863,40468669.384428,4272894.395
-1232351.47367167,2482607.55,-16436.1542449919,41724795.6060114,5319998.355
-1217490.58489027,69360983.5063234,-5557.34241204368,38652.597460003,525775
