const_price,const_units
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
2303256.190830987,486.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3384334.0056814137,299.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3032856.3589568683,351.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
3250458.1428909926,314.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
5665345.924892886,6.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
